,langs
8748,de
8749,nl
8750,it
8752,ba
8753,pl
8754,pl
8755,ms
8757,id
8758,id
8760,tr
8761,id
8763,ar
8764,it
8765,pl
8767,de
8768,it
8769,ca
8770,id
8771,jv
8773,it
8774,pt
8775,id
8776,sv
8777,hu
8778,es
8780,de
8781,ms
8782,id
8784,de
8786,id
8787,de
8788,ms
8789,fi
8793,de
8794,no
8797,sv
8799,eo
8802,hu
8804,io
8805,uk
8809,sw
8813,pt
8815,id
8820,id
8821,ms
8822,id
8823,ro
8824,la
8826,id
8827,fr
8828,fi
8829,sw
8832,eu
8834,id
8835,fy
8836,fi
8837,it
8839,eo
8840,fr
8841,et
8842,it
8843,de
8844,ca
8845,nl
8847,id
8849,id
8850,it
8852,es
8856,pl
8857,et
8859,eo
8862,id
8863,id
8864,nl
8865,tl
8866,fa
8869,fr
8870,ro
8872,no
8873,fr
8874,de
8875,de
8876,sl
8877,de
8878,es
8879,de
8880,sv
8882,jv
8884,zh
8885,fr
8887,eo
8888,fr
8890,sr
8891,id
8892,id
8894,pl
8896,id
8900,ms
8903,no
8904,sl
8905,sv
8907,tl
8908,ar
8909,fi
8912,mi
8913,es
8916,bs
8918,hu
8919,ja
8920,wa
8924,al
8925,de
8928,es
8929,fr
8930,fr
8931,it
8932,eu
8935,hr
8937,id
8938,ms
8939,hr
8940,fr
8943,fr
8944,ms
8945,hr
8946,it
8952,wa
8954,it
8955,id
8957,nl
8960,tr
8961,ms
8962,nl
8965,it
8967,no
8968,de
8970,id
8971,de
8972,id
8973,it
8976,et
8977,eu
8978,nl
8979,fr
8980,de
8981,eo
8983,id
8984,sv
8986,jv
8988,hu
8990,ms
8991,fi
8992,it
8993,zh
8998,eo
9000,zh
9001,es
9002,sr
9006,fr
9007,fr
9008,ca
9009,tr
9011,pt
9013,pt
9015,sl
9017,de
9018,pt
9019,et
9020,de
9021,ce
9024,sc
9025,it
9026,id
9027,sw
9028,id
9029,wa
9031,pl
9033,fr
9036,id
9038,ca
9039,id
9040,sw
9041,mg
9042,ja
9043,ja
9045,ms
9047,no
9050,it
9052,es
9053,fr
9054,pa
9057,fi
9058,fi
9059,ie
9060,es
9064,fi
9065,de
9066,id
9067,uz
9068,eu
9069,hu
9071,oc
9072,ce
9074,vi
9075,it
9077,de
9078,ms
9079,id
9080,jv
9081,no
9084,de
9086,uz
9087,tr
9089,de
9091,de
9092,fi
9093,uz
9095,fi
9096,jv
9097,sv
9098,jv
9099,ms
9100,ar
9101,it
9103,oc
9105,sv
9107,ro
9109,ms
9111,ce
9112,ms
9113,fr
9114,pl
9115,bn
9116,ce
9117,fi
9118,sq
9119,eo
9120,mi
9123,id
9125,fr
9127,id
9128,sq
9130,fr
9131,pt
9132,nl
9133,sr
9134,ms
9135,it
9138,es
9139,sv
9142,sh
9145,fa
9146,it
9147,de
9149,fi
9151,jb
9152,tr
9153,de
9154,id
9155,wa
9156,de
9158,it
9160,nl
9162,id
9163,id
9165,it
9166,de
9167,es
9168,ce
9169,ro
9170,id
9171,ca
9172,de
9174,id
9176,es
9177,fr
9179,id
9180,mi
9181,ru
9182,ms
9183,tr
9186,tr
9187,sv
9188,zh
9189,eu
9191,sk
9192,sr
9193,ca
9194,de
9196,id
9197,fr
9198,wa
9199,de
9201,it
9202,pt
9203,ms
9204,id
9206,id
9207,id
9208,ru
9209,it
9211,bg
9212,fr
9213,ru
9216,ru
9217,lm
9218,ca
9219,id
9220,nl
9222,es
9223,fi
9224,fr
9226,fr
9227,pl
9228,no
9229,nl
9231,ca
9232,ml
9233,pl
9234,it
9235,ca
9236,eo
9237,de
9239,eo
9241,fr
9242,sv
9243,is
9244,pt
9245,nl
9246,gl
9248,uz
9249,es
9251,fr
9252,de
9253,nl
9256,id
9258,ce
9259,pt
9260,nn
9261,hu
9262,id
9263,sv
9265,es
9267,ce
9268,ca
9269,de
9270,es
9271,de
9272,de
9273,de
9274,gl
9275,de
9277,fi
9278,eo
9279,id
9283,ce
9284,id
9285,nl
9286,de
9287,ms
9288,ja
9289,ru
9291,fi
9292,cy
9293,de
9294,tr
9295,cs
9296,eo
9297,es
9298,af
9299,wa
9300,nl
9301,az
9302,ja
9303,fi
9304,jb
9305,pl
9306,pl
9307,fi
9308,fa
9310,sv
9311,fa
9313,nl
9316,id
9317,fi
9318,it
9321,de
9322,jv
9324,nl
9325,et
9327,de
9328,vo
9331,es
9333,id
9336,fi
9339,de
9340,es
9342,it
9343,fr
9344,pl
9345,sv
9346,fi
9350,th
9351,it
9353,ms
9354,af
9355,ms
9358,sv
9362,io
9364,id
9365,id
9366,et
9368,nl
9369,de
9372,ms
9373,tl
9374,id
9375,tl
9376,es
9377,nl
9378,id
9379,fi
9380,id
9382,nl
9383,it
9384,fr
9387,id
9389,az
9390,es
9391,my
9392,de
9393,fi
9394,eu
9396,mi
9398,wa
9399,id
9400,it
9401,ro
9402,it
9403,de
9404,et
9405,eo
9407,it
9410,tr
9411,lt
9413,id
9415,pl
9416,sk
9420,eu
9421,sk
9422,pl
9423,eo
9424,ms
9425,zh
9426,wa
9427,id
9428,pt
9429,it
9430,de
9431,pl
9432,nl
9434,io
9435,fi
9436,pl
9437,id
9438,eo
9440,nd
9441,so
9443,fi
9445,fr
9446,az
9448,ms
9449,pl
9451,de
9452,hu
9453,pl
9454,ms
9455,sl
9456,fr
9457,nl
9460,pt
9461,nl
9463,ms
9464,pl
9465,sv
9466,pl
9467,nl
9468,id
9469,de
9470,de
9471,fr
9472,id
9473,id
9475,cs
9476,ms
9481,it
9482,br
9484,sv
9485,ce
9486,lo
9487,hu
9488,ro
9491,no
9492,de
9493,id
9494,hu
9495,az
9496,es
9497,tl
9498,id
9500,lt
9502,eo
9503,ms
9504,tr
9507,fr
9509,de
9512,pt
9513,ta
9515,id
9518,id
9522,nl
9524,ms
9525,id
9526,es
9527,es
9528,nd
9529,id
9532,es
9534,ml
9535,id
9536,ta
9537,uk
9538,es
9540,sh
9541,tr
9544,la
9545,br
9546,eo
9547,de
9548,hr
9550,fr
9551,ru
9552,tr
9555,de
9556,it
9558,uk
9561,de
9564,tl
9565,it
9567,fi
9568,es
9570,it
9571,sv
9576,id
9577,tr
9578,ms
9580,la
9581,nl
9582,mn
9583,hr
9584,la
9585,tl
9586,sr
9588,af
9589,id
9591,tr
9592,de
9593,ce
9594,fr
9595,id
9596,tr
9597,ms
9598,es
9599,tr
9601,de
9604,id
9605,la
9606,de
9607,pt
9608,de
9609,ja
9610,uz
9611,de
9612,hu
9613,wa
9617,ms
9618,id
9620,nd
9621,io
9622,pl
9624,it
9625,pt
9627,fi
9631,sv
9632,fi
9633,eo
9634,de
9636,hr
9638,id
9639,ce
9641,jv
9642,id
9643,lv
9644,ro
9646,pt
9650,pl
9652,sv
9653,ie
9654,id
9656,nl
9657,it
9658,de
9659,de
9661,sr
9662,es
9666,cs
9667,sv
9668,es
9670,it
9671,nl
9672,bs
9673,ce
9674,pt
9675,nl
9676,pl
9677,wa
9678,it
9679,ms
9681,fi
9682,wa
9683,nl
9684,sv
9685,eo
9686,az
9688,eu
9689,pt
9691,ce
9692,id
9693,eu
9695,ms
9698,ur
9704,de
9705,sl
9706,id
9707,ro
9712,az
9715,eu
9716,de
9717,id
9718,es
9719,so
9720,fr
9723,ro
9724,id
9725,id
9728,ru
9729,es
9730,de
9733,sh
9734,ar
9735,it
9736,sk
9737,no
9738,pt
9739,nl
9741,fi
9743,es
9744,hr
9745,ja
9746,pl
9748,nl
9749,es
9750,fi
9751,id
9752,sv
9753,zh
9754,it
9756,pl
9760,fi
9761,tr
9764,de
9765,nl
9766,it
9767,nl
9769,tl
9770,ru
9771,de
9777,it
9778,id
9779,it
9780,id
9781,pt
9783,id
9784,es
9785,sr
9786,nl
9787,de
9789,it
9790,sr
9791,ms
9793,ce
9796,de
9797,pt
9798,ca
9799,hr
9800,ro
9801,fr
9802,it
9803,bn
9806,fi
9807,tr
9808,it
9809,it
9810,id
9812,sl
9813,de
9814,it
9815,sl
9816,et
9817,nl
9818,tr
9819,id
9820,de
9821,de
9822,hr
9823,ro
9824,id
9827,oc
9829,es
9830,ro
9831,tr
9832,nl
9833,it
9836,de
9837,fi
9839,ja
9840,eo
9841,no
9842,es
9843,it
9844,pl
9849,sl
9850,bg
9851,id
9858,sc
9859,de
9861,id
9862,de
9863,fr
9865,id
9866,id
9868,id
9870,cs
9871,de
9872,es
9873,sq
9874,fi
9875,eo
9877,pt
9878,eo
9879,id
9881,pl
9882,id
9883,bs
9884,de
9885,ms
9886,es
9888,sh
9889,io
9890,de
9891,ms
9892,eu
9895,id
9898,et
9899,fr
9901,de
9903,pl
9906,nl
9908,ca
9909,nd
9911,fi
9912,fr
9913,lt
9915,hu
9916,sr
9917,nl
9919,sv
9920,ia
9922,tl
9923,vi
9925,ms
9926,az
9927,hu
9928,ms
9929,es
9931,de
9932,id
9934,de
9935,su
9936,br
9937,ia
9940,fr
9941,tl
9942,pt
9943,nl
9944,eo
9946,it
9949,fi
9950,ml
9953,id
9954,de
9955,as
9956,sw
9959,de
9963,ms
9965,tl
9967,eo
9971,ca
9973,ms
9974,ko
9975,br
9977,fr
9978,mg
9979,pt
9980,de
9981,la
9983,ne
9984,id
9986,ms
9987,es
9991,it
9992,pl
9993,su
9994,id
9995,no
9997,hr
9998,sv
9999,es
10000,no
10002,id
10003,af
10005,ru
10009,ro
10010,lv
10014,pl
10015,id
10016,ms
10018,nl
10019,id
10020,fi
10021,ms
10025,fr
10027,de
10028,sv
10029,uk
10031,fr
10032,es
10033,af
10034,et
10035,ms
10037,nl
10038,ro
10039,hu
10041,cs
10042,eo
10043,lt
10044,ms
10045,fr
10049,id
10050,id
10052,ur
10053,fi
10054,id
10055,su
10057,id
10058,pl
10059,sr
10060,it
10062,eo
10063,ms
10064,fi
10065,ms
10066,ms
10068,kw
10069,tr
10070,uz
10071,no
10073,id
10074,es
10075,de
10076,sv
10077,fi
10078,fr
10079,zh
10081,de
10082,eu
10084,ce
10085,da
10086,fi
10087,fi
10088,ro
10089,de
10090,ro
10091,de
10092,fi
10093,it
10094,id
10097,vo
10099,pl
10100,eo
10101,eo
10103,ml
10104,no
10105,id
10107,id
10108,fr
10109,fi
10110,ro
10111,br
10113,la
10115,it
10118,fr
10119,et
10120,id
10121,de
10122,lt
10125,so
10126,ml
10129,eo
10131,de
10133,it
10135,eo
10138,id
10141,pl
10143,ce
10144,hu
10145,io
10146,ml
10148,ce
10149,lt
10150,es
10151,fr
10153,tl
10155,so
10156,id
10157,de
10158,de
10159,fi
10160,de
10165,tr
10168,wa
10169,it
10171,pl
10173,id
10174,id
10176,da
10177,it
10178,nl
10179,pt
10184,uz
10185,sw
10186,de
10187,nl
10188,ca
10189,it
10191,fr
10192,id
10193,ce
10194,tk
10195,ce
10196,ms
10197,id
10198,fr
10199,fr
10201,fr
10202,fr
10203,pt
10206,fr
10207,id
10208,ce
10210,sv
10212,no
10213,lt
10216,de
10217,hu
10219,sl
10222,id
10223,pl
10224,it
10226,ca
10227,it
10228,pl
10229,ms
10231,ce
10232,es
10236,lv
10238,sv
10240,it
10241,el
10244,pt
10245,id
10246,fa
10247,sl
10248,de
10249,id
10251,ms
10254,sv
10255,id
10256,id
10257,id
10258,no
10259,tr
10260,id
10261,uz
10262,mi
10263,ba
10268,de
10269,et
10270,tr
10276,id
10278,ro
10279,nl
10281,fr
10282,uk
10283,ro
10284,ms
10287,am
10288,id
10291,nl
10292,br
10293,de
10294,id
10295,tr
10298,id
10299,sv
10301,sl
10302,id
10303,ja
10304,es
10306,id
10307,sk
10308,it
10309,ms
10310,eu
10312,ms
10313,ms
10314,hr
10315,id
10316,id
10317,es
10318,id
10319,oc
10320,ca
10322,id
10324,id
10325,id
10326,eo
10327,oc
10328,it
10335,zh
10337,zh
10338,id
10340,ce
10344,tr
10345,pt
10346,nl
10347,eu
10348,ca
10349,id
10350,ar
10352,pt
10355,es
10356,fr
10357,nl
10359,de
10360,id
10362,it
10364,fi
10365,id
10366,cs
10368,et
10369,fa
10370,it
10372,tr
10374,es
10375,pl
10376,uz
10377,de
10379,eu
10381,tr
10385,ar
10387,no
10388,no
10389,ru
10390,de
10391,tl
10394,sq
10396,fi
10398,id
10399,pt
10400,cs
10401,de
10403,na
10404,wa
10405,de
10406,es
10408,id
10409,de
10412,mi
10413,sv
10415,vi
10416,id
10417,bs
10419,de
10420,th
10422,hr
10423,ms
10425,tr
10426,pt
10427,tr
10428,de
10429,id
10431,eo
10432,id
10434,af
10435,fa
10436,ms
10437,it
10440,pl
10441,de
10442,pl
10445,nl
10447,id
10448,nl
10449,ja
10451,sv
10452,zh
10453,ru
10454,id
10455,ur
10456,sh
10458,es
10459,tl
10460,id
10462,id
10464,tr
10465,de
10466,fi
10467,ms
10468,ms
10469,tr
10470,ru
10471,it
10473,ro
10474,ce
10477,id
10478,de
10479,sk
10480,su
10481,id
10483,hu
10486,tr
10487,sr
10488,da
10489,ms
10490,et
10491,uz
10492,ru
10493,pl
10494,fi
10495,hr
10497,it
10498,ja
10499,ur
10500,wa
10501,uk
10503,sv
10505,eo
10506,id
10512,ce
10513,fr
10514,hu
10515,pl
10517,gd
10518,fi
10519,fr
10520,fr
10521,it
10522,de
10528,id
10530,it
10532,ca
10534,et
10535,ce
10536,de
10537,es
10538,id
10541,it
10542,it
10543,ms
10547,id
10548,ca
10549,el
10551,it
10552,es
10553,ru
10555,eo
10556,fi
10557,ms
10558,fr
10559,et
10560,gl
10561,ms
10562,es
10563,id
10564,pl
10565,wa
10568,ce
10569,fi
10570,fr
10571,ce
10573,id
10574,ms
10575,tr
10576,no
10577,no
10579,id
10580,ru
10582,de
10584,zh
10586,sq
10587,ru
10591,br
10592,ce
10593,nl
10594,es
10595,pt
10598,no
10599,tl
10600,ca
10601,as
10602,hr
10603,de
10606,sc
10607,ce
10608,wa
10609,id
10610,de
10611,it
10612,de
10613,nl
10614,sh
10615,ar
10616,id
10618,nl
10619,pl
10620,fi
10621,ro
10623,no
10624,fr
10625,id
10626,cy
10627,pt
10630,bn
10632,br
10633,eo
10634,it
10635,sv
10636,es
10637,id
10638,es
10639,id
10641,sh
10644,id
10646,fa
10647,de
10648,de
10649,kw
10650,nl
10651,it
10656,tl
10657,ce
10660,id
10661,ie
10662,nl
10663,sh
10666,eu
10667,pt
10668,es
10669,ms
10670,fr
10671,hr
10673,fi
10674,ca
10677,es
10678,it
10680,id
10681,pl
10682,fr
10683,de
10685,it
10686,es
10687,ms
10688,pl
10689,lt
10690,id
10691,id
10692,ga
10693,de
10694,hu
10695,ca
10696,pt
10698,id
10700,id
10701,pt
10702,zh
10704,nl
10705,ce
10706,id
10708,id
10709,id
10710,sh
10711,az
10712,id
10713,pl
10715,sh
10716,sv
10717,vi
10718,eo
10719,hs
10722,ce
10723,ce
10724,fi
10731,de
10733,de
10734,ru
10735,id
10737,de
10738,id
10739,fa
10743,ce
10744,id
10745,fi
10746,es
10747,tr
10748,eu
10750,id
10752,pl
10753,es
10754,id
10756,sr
10758,de
10759,pl
10760,sh
10761,af
10762,ms
10763,ur
10764,fr
10767,it
10768,jv
10769,la
10770,it
10771,sv
10774,ce
10775,pl
10776,eo
10777,sk
10778,da
10780,de
10782,gv
10783,es
10784,fr
10785,de
10788,sl
10789,fr
10790,es
10791,pl
10792,fr
10793,la
10795,id
10796,eo
10797,tr
10798,wa
10801,tr
10802,de
10803,id
10804,fi
10805,pt
10806,fr
10807,de
10809,ca
10810,pt
10812,ce
10813,de
10815,it
10816,az
10817,hu
10819,hu
10822,ca
10823,mn
10824,wa
10827,pl
10829,id
10830,es
10834,hu
10836,fr
10837,id
10838,it
10839,de
10840,tr
10841,pt
10842,eo
10843,lt
10844,ca
10845,id
10847,bn
10849,fi
10850,ca
10851,pl
10852,fi
10853,ms
10854,de
10855,fi
10856,fi
10857,tr
10858,de
10859,fr
10861,fr
10863,es
10864,ms
10865,es
10866,sv
10870,id
10871,sv
10872,nl
10873,it
10874,ms
10875,de
10876,hr
10877,hu
10878,sv
10880,id
10882,ca
10883,pl
10884,fr
10885,sv
10889,nl
10890,it
10891,fi
10892,uz
10895,tr
10896,id
10898,uz
10899,et
10902,ce
10903,it
10905,pl
10906,id
10907,de
10911,da
10915,wa
10916,pt
10918,fr
10919,cs
10920,ca
10921,sv
10922,fi
10923,es
10924,it
10925,la
10929,br
10930,et
10931,eu
10932,az
10933,hu
10934,nl
10936,tr
10937,hu
10938,hr
10939,id
10940,it
10942,eu
10944,sk
10946,es
10948,it
10949,ja
10950,jv
10951,fr
10952,pl
10954,de
10956,eo
10957,id
10959,nl
10960,sv
10961,pl
10965,pt
10966,it
10969,ms
10970,ms
10973,de
10974,id
10975,id
10976,de
10977,id
10978,fi
10979,ms
10980,tr
10981,id
10984,sl
10985,ca
10986,ms
10987,id
10988,nl
10989,es
10991,pt
10993,eo
10994,id
10996,az
10998,io
10999,tr
11000,tr
11001,eu
11002,pl
11003,ce
11004,de
11005,pl
11006,fr
11010,id
11011,ms
11014,zh
11015,qu
11016,pl
11019,eo
11020,it
11021,fr
11024,eo
11026,az
11027,de
11028,su
11029,es
11031,de
11032,zh
11033,it
11035,de
11036,tr
11037,fr
11038,ar
11039,de
11040,ms
11041,id
11042,ia
11046,hr
11050,de
11052,de
11054,fi
11055,id
11057,de
11058,id
11059,ca
11060,ms
11061,hu
11063,id
11065,gn
11066,fr
11067,ru
11068,fi
11069,zh
11070,pl
11072,kw
11074,zh
11076,hu
11077,tr
11078,pl
11079,ms
11081,it
11083,fr
11084,ms
11086,fi
11087,fr
11090,ca
11091,nl
11092,tr
11094,br
11095,ca
11096,pl
11098,es
11100,zh
11101,es
11102,eo
11104,fa
11105,da
11106,pl
11107,id
11111,fr
11112,pt
11113,et
11114,it
11116,ms
11119,ce
11120,sr
11121,hr
11122,nl
11123,az
11124,it
11125,it
11126,et
11131,sl
11132,es
11133,jv
11134,id
11135,hr
11136,fr
11137,fr
11139,eo
11140,ca
11141,cy
11142,tr
11144,it
11145,sl
11146,sv
11147,kn
11148,ms
11149,hr
11150,id
11153,es
11155,fr
11157,es
11158,tl
11162,id
11163,it
11164,vi
11165,it
11166,eu
11167,fi
11168,es
11170,pl
11171,zh
11172,id
11173,es
11174,id
11175,de
11176,tr
11177,id
11178,fi
11179,ms
11180,fr
11182,eu
11183,id
11185,id
11187,ce
11188,eo
11190,ar
11191,tl
11192,id
11194,no
11195,pl
11196,fi
11197,id
11200,id
11201,de
11203,tr
11204,tr
11205,id
11206,id
11208,ru
11209,de
11210,nl
11211,nl
11212,de
11213,id
11214,it
11215,hu
11216,pl
11217,de
11220,fr
11221,br
11223,id
11224,de
11225,nl
11226,da
11228,pt
11229,id
11230,id
11231,eu
11232,sv
11233,hr
11236,ms
11237,my
11240,da
11241,tr
11243,it
11247,hr
11250,fr
11251,it
11252,ru
11254,ar
11255,no
11256,eo
11258,it
11259,ru
11260,fi
11262,id
11263,it
11265,sv
11266,sw
11267,it
11268,nl
11271,id
11273,eo
11275,eo
11277,ce
11278,ms
11280,id
11283,id
11285,it
11286,vi
11290,fi
11291,ms
11292,nd
11293,de
11294,tr
11296,eo
11297,id
11298,da
11300,ms
11301,id
11302,pl
11303,id
11304,id
11305,de
11306,fr
11307,pa
11308,eu
11310,hu
11312,eo
11313,de
11318,it
11319,bn
11322,it
11323,cs
11325,es
11326,nd
11327,es
11328,sv
11331,id
11332,it
11333,cy
11335,es
11337,uz
11338,ms
11340,jb
11342,ja
11344,id
11345,ca
11346,az
11347,eu
11348,ur
11349,vi
11350,it
11353,et
11355,ja
11356,sv
11357,de
11358,it
11361,ja
11362,id
11363,pt
11364,fi
11366,id
11367,pt
11368,id
11369,fr
11373,fr
11374,nn
11376,id
11379,id
11382,it
11383,id
11384,ms
11386,fr
11388,id
11389,es
11390,ro
11391,fr
11393,id
11394,il
11395,fi
11396,de
11397,no
11398,id
11399,fi
11400,af
11402,ar
11404,fr
11405,ur
11406,nl
11407,id
11410,id
11411,it
11413,es
11416,sl
11418,cy
11419,de
11420,nn
11421,pt
11422,id
11423,id
11424,gl
11427,pl
11428,vi
11429,ja
11430,lb
11431,fi
11432,es
11433,ms
11434,id
11435,id
11438,fi
11439,fi
11440,ms
11441,es
11442,no
11443,nl
11445,id
11446,ta
11450,es
11452,id
11453,tr
11454,gd
11456,la
11457,ru
11458,fr
11460,de
11461,zh
11463,az
11464,eo
11465,id
11467,pl
11468,ms
11470,zh
11471,sh
11472,ru
11474,it
11475,es
11477,tr
11478,ms
11479,eo
11480,id
11482,ar
11483,nl
11484,kw
11485,et
11486,it
11488,fr
11489,pl
11490,pl
11491,es
11492,es
11493,la
11494,eo
11495,es
11497,ms
11498,id
11499,ca
11500,it
11501,de
11503,de
11505,id
11507,it
11509,da
11511,es
11512,ja
11513,de
11514,kw
11515,id
11516,it
11517,la
11518,fr
11519,tr
11520,et
11521,hu
11522,tl
11523,eo
11524,es
11525,nl
11526,vi
11527,ms
11528,fi
11529,es
11534,de
11536,jv
11537,tl
11538,fi
11540,hu
11544,jb
11545,it
11546,te
11547,de
11548,id
11549,jv
11550,ce
11551,hu
11552,hu
11554,nl
11555,wa
11556,id
11561,it
11562,ms
11563,nl
11565,eo
11566,es
11572,fr
11573,id
11575,eo
11577,nl
11578,tr
11579,id
11580,tl
11584,io
11585,id
11586,id
11587,it
11589,eu
11591,pl
11593,fr
11595,fr
11598,cs
11599,it
11600,es
11601,fi
11602,ca
11605,es
11606,fr
11609,sh
11610,et
11611,de
11614,tr
11615,pl
11617,ce
11618,nl
11619,fi
11620,pt
11621,ja
11622,tr
11623,it
11624,de
11626,hr
11627,tr
11628,ms
11629,la
11630,lt
11631,tl
11632,sv
11633,la
11639,ro
11641,id
11642,ca
11643,et
11644,ce
11645,nl
11647,ms
11649,id
11651,nl
11652,hu
11653,fr
11654,cy
11655,hr
11656,eu
11657,es
11658,fi
11659,de
11660,pl
11661,fi
11662,fr
11664,ml
11667,sl
11668,et
11669,id
11670,fr
11671,de
11673,pt
11674,vi
11676,id
11677,sv
11678,pt
11679,tr
11681,id
11683,pl
11684,pt
11686,id
11688,id
11691,fy
11692,id
11694,lv
11695,cy
11700,it
11701,ga
11704,id
11706,fr
11707,pl
11708,it
11709,nd
11710,ms
11711,sv
11712,sv
11713,de
11714,de
11716,es
11718,it
11719,nl
11720,fr
11722,nl
11723,fi
11724,pt
11725,fi
11726,de
11732,de
11733,eu
11734,id
11735,id
11736,ms
11737,de
11739,id
11740,es
11741,it
11743,ca
11744,de
11746,id
11748,wa
11749,de
11750,no
11753,zh
11754,it
11755,pt
11760,pt
11761,oc
11762,fr
11765,es
11767,es
11768,ce
11769,sw
11770,es
11771,es
11772,wa
11774,id
11775,id
11776,de
11778,fr
11779,id
11780,id
11781,id
11783,it
11784,nl
11785,la
11787,pl
11788,eo
11790,ce
11791,fy
11792,it
11793,id
11795,ms
11796,es
11797,de
11798,de
11799,nl
11800,mt
11801,el
11803,pn
11804,de
11805,pl
11808,fr
11809,ms
11810,es
11813,lt
11815,hr
11817,nl
11818,id
11819,de
11822,nl
11825,id
11826,sr
11830,fr
11834,et
11836,es
11837,ca
11838,pl
11840,la
11841,ur
11842,es
11845,de
11848,tr
11849,es
11850,hu
11854,id
11855,it
11856,sh
11857,hu
11858,eo
11859,pl
11861,sv
11864,de
11865,it
11866,hu
11869,eo
11870,id
11871,fi
11872,fi
11875,id
11881,ms
11882,id
11883,it
11886,id
11888,nl
11890,ar
11891,fi
11892,id
11893,id
11894,id
11895,id
11897,sv
11901,id
11902,tr
11908,pl
11909,fr
11910,ms
11911,az
11912,it
11913,id
11914,bn
11915,la
11916,sv
11920,id
11924,nl
11925,id
11927,ms
11929,fr
11930,es
11931,pl
11932,id
11933,ca
11934,pl
11935,fi
11936,zh
11937,fr
11938,vi
11939,fr
11940,nl
11944,fr
11945,pl
11946,ms
11947,es
11950,nd
11952,id
11953,al
11954,eo
11955,et
11957,eo
11960,sv
11962,ca
11963,da
11970,sv
11971,de
11973,id
11974,sv
11976,id
11978,sk
11980,hr
11981,de
11983,wa
11984,nl
11985,eo
11986,hu
11987,de
11990,uk
11991,lt
11992,es
11993,de
11996,de
11998,es
11999,id
12000,ko
12001,id
12002,uz
12004,fi
12005,nl
12007,pl
12008,nl
12010,ms
12011,pl
12012,la
12013,hu
12015,fa
12016,de
12017,da
12019,ms
12020,it
12021,de
12022,id
12023,it
12024,id
12030,tr
12031,ms
12033,es
12034,ce
12035,it
12036,de
12037,sq
12038,pt
12039,de
12040,et
12041,fr
12044,sw
12045,eu
12047,de
12049,es
12050,ur
12051,sr
12052,es
12055,no
12056,it
12057,ms
12059,pt
12060,br
12061,pt
12062,es
12063,id
12064,no
12065,ms
12067,zh
12068,ce
12071,ms
12072,it
12073,hr
12074,id
12076,hu
12077,de
12078,ce
12079,ce
12080,it
12082,id
12084,pl
12085,no
12087,pl
12088,fr
12089,fi
12090,ru
12091,fi
12093,id
12094,id
12095,fi
12097,sv
12103,eu
12104,eo
12105,ms
12106,nl
12107,fi
12108,fi
12109,fi
12110,fi
12111,eu
12112,fr
12113,fi
12114,it
12116,sv
12117,pl
12120,ca
12122,jv
12123,ta
12124,fr
12127,fr
12129,ro
12130,ar
12132,lv
12133,nl
12134,de
12135,es
12136,fi
12139,pl
12140,id
12141,it
12142,id
12143,tr
12144,es
12145,pt
12146,ms
12149,de
12150,fi
12151,pt
12153,nl
12155,az
12156,id
12157,de
12160,eu
12162,it
12163,de
12164,nl
12166,fr
12167,ca
12169,gl
12170,fi
12173,fr
12174,zh
12175,id
12177,fr
12180,de
12181,nl
12182,sv
12183,de
12184,id
12185,vi
12187,id
12190,fr
12192,it
12193,it
12194,eo
12196,de
12198,uz
12199,nl
12200,id
12201,es
12203,ce
12204,pt
12205,it
12207,it
12208,id
12209,hr
12213,de
12214,it
12215,eo
12216,fr
12217,id
12218,ms
12220,de
12221,ms
12223,hi
12224,de
12225,af
12226,et
12227,nl
12228,fr
12229,hu
12230,fr
12231,af
12233,id
12234,es
12235,hu
12237,es
12238,fr
12239,ms
12244,it
12245,wa
12247,it
12248,no
12250,pl
12251,es
12252,id
12253,fi
12255,sk
12256,ru
12262,fi
12264,ce
12266,de
12268,ru
12269,nl
12270,sq
12271,eo
12272,es
12276,hu
12279,uz
12281,es
12282,pl
12283,wa
12284,id
12285,hu
12288,fi
12289,ms
12290,eo
12291,id
12292,ce
12295,nl
12296,it
12297,ro
12298,wa
12299,ce
12300,tl
12302,it
12306,de
12310,ce
12311,sv
12314,es
12316,it
12317,nl
12318,id
12319,eo
12321,bs
12323,gl
12324,jv
12325,eo
12327,id
12328,id
12329,de
12331,id
12332,ms
12333,sq
12334,nl
12336,de
12337,it
12338,es
12339,gv
12341,fr
12343,it
12348,fa
12349,id
12351,de
12352,sl
12353,es
12356,ru
12357,pt
12359,id
12360,nl
12361,de
12363,nl
12365,tr
12366,nl
12367,tr
12368,tr
12369,id
12370,hu
12371,ms
12372,pt
12373,id
12374,nd
12376,nn
12378,cs
12379,it
12382,it
12383,sv
12384,es
12386,es
12387,it
12388,pt
12389,ms
12390,fr
12391,ce
12393,el
12394,eo
12395,af
12398,id
12400,it
12401,id
12403,ce
12404,hu
12405,es
12407,de
12409,de
12410,ms
12411,de
12412,eu
12413,it
12414,de
12415,id
12416,pt
12418,id
12419,ms
12420,de
12421,ms
12422,hu
12425,fi
12426,it
12427,id
12428,cs
12429,id
12430,vi
12431,lt
12432,it
12433,vi
12434,fr
12436,hr
12438,de
12439,id
12441,hu
12442,fr
12446,id
12448,sk
12449,nl
12450,zh
12451,id
12452,zh
12453,es
12454,pt
12456,cy
12457,ca
12458,ce
12459,es
12462,wa
12467,et
12469,pl
12471,sl
12472,pt
12474,es
12475,de
12476,id
